studentID,studentGPA,studentPriority,studentESL,studentAvoid1,assignment,studentChoice1,studentChoice2,studentChoice3,studentChoice4,studentChoice5
90965,3.10,,,,,22,24,7,3,24
86378,3.90,,,,,15,9,22,30,8
48389,3.10,1,,,,2,3,26,19,17
21498,4.00,,,,,11,6,15,11,15
38686,2.50,,1,,,17,8,4,11,15
69297,3.10,,,,,14,15,15,27,28
59427,3.60,,,,,25,29,22,15,15
23017,4.00,,,,,20,26,2,15,13
11577,2.60,,,,,29,30,8,1,7
76057,3.90,,,,,10,6,15,27,14
79890,4.00,,,,,29,19,22,5,19
64226,3.70,,1,,,23,25,22,29,25
74492,3.10,,,,,8,13,17,8,1
92897,3.30,,,,,7,13,18,29,16
38424,4.00,,1,,,28,5,2,28,4
95770,3.80,,,,,29,28,16,14,13
44722,3.50,,,,,27,19,29,14,20
12745,3.30,,,,,8,17,6,5,14
25789,3.10,,,,,24,21,2,16,1
73660,2.50,1,,,,29,8,30,5,21
10728,2.60,,,,,26,27,8,21,17
33025,3.90,,1,,,4,30,27,9,30
89474,2.70,,,,,17,11,2,19,21
63342,2.90,,,,,18,24,29,2,21
40567,3.60,,,,,25,25,15,20,5
52845,3.40,,,,,26,21,22,16,4
94239,3.00,,,,,24,26,24,4,11
58442,2.50,,,,,10,7,14,10,17
63890,3.70,,1,,,19,12,15,23,6
11942,2.70,,,,,26,30,1,2,21
28120,2.50,,,,,12,16,14,11,11
36889,3.10,,1,,,13,26,21,1,19
66951,2.90,,,,,11,14,13,15,5
67448,2.70,,,,,5,12,19,18,16
14328,2.80,,,,,12,22,29,7,23
86866,3.10,,,,,24,23,17,25,20
65249,3.50,1,,,,9,9,2,7,26
38344,2.80,,,,,7,19,25,30,10
59995,3.70,,1,,,24,4,12,11,5
89624,3.20,,,,,5,22,2,5,11
59496,3.60,,,,,28,12,11,29,2
79291,3.00,,,,,16,15,7,6,8
27810,3.30,,,,,4,25,4,1,24
94312,3.20,,,,,5,19,4,10,5
73182,2.50,,,,,25,1,28,8,19
41054,2.60,,1,,,17,20,7,18,20
19194,3.90,,,,,12,3,19,26,7
72401,3.50,,,,,19,15,24,29,19
79346,3.40,,1,,,20,8,5,3,14
31409,3.80,,,,,1,28,26,22,26
33134,2.70,,,,,21,23,12,27,9
67358,3.00,,,,,23,18,25,2,3
80482,2.90,,,,,10,10,11,3,10
21560,3.30,1,,,,30,26,26,29,1
47074,3.10,,,,,30,7,11,3,27
62940,3.30,,1,,,21,9,1,19,25
78445,3.10,,,,,1,23,21,12,1
17328,3.40,,,,,14,28,7,3,14
75770,4.00,,,,,30,13,3,15,24
63571,3.70,,,,,29,26,26,28,12
43924,3.50,,,,,20,19,17,12,24
41974,3.30,,,,,7,20,10,8,11
80767,3.50,,1,,,26,10,16,11,10
62751,2.80,,,,,5,21,23,20,13
78269,3.00,,,,,7,23,4,5,1
45977,3.00,,1,,,17,27,29,25,4
14495,3.70,,,,,7,24,16,24,2
87616,3.90,,,,,8,25,30,5,18
69735,2.50,,,,,14,3,16,20,11
29032,3.80,,,,,4,27,18,17,17
32069,2.90,1,,,,5,5,22,20,9
83806,3.10,,,,,30,24,13,25,11
87001,3.60,,1,,,17,6,28,11,9
40358,2.70,,,,,27,6,22,9,5
30348,3.10,,,,,30,24,7,9,18
91212,3.60,,,,,20,30,10,18,17
94702,3.70,,,,,17,25,14,30,24
33523,3.40,,,,,5,17,1,8,16
91122,3.50,,,,,12,4,15,2,11
53883,2.70,,1,,,30,18,26,24,23
22248,2.50,,,,,28,8,9,22,13
87348,3.30,,,,,4,26,4,2,18
65165,2.50,,1,,,5,18,20,10,26
87909,2.80,,,,,11,29,6,16,27
56153,2.70,,,,,2,28,18,16,6
93768,3.00,,,,,2,7,6,19,11
40882,3.30,,,,,7,21,27,3,9
12599,3.90,1,,,,6,7,27,8,10
93971,3.70,,,,,1,4,4,9,7
59180,3.30,,1,,,27,10,4,22,22
63380,3.20,,,,,24,12,20,26,20
52391,3.30,,,,,9,11,21,29,18
94834,3.00,,,,,4,3,23,22,21
65241,2.60,,,,,3,6,15,29,22
65376,2.90,,,,,16,7,27,1,23
47760,3.60,,,,,27,10,24,10,7
98423,2.60,,1,,,27,30,13,10,12
58745,3.20,,,,,6,28,7,28,14
60653,2.90,,,,,27,23,10,15,26
34157,2.50,,1,,,21,30,27,1,13
