studentID,studentGPA,studentPriority,studentESL,studentAvoid,assignment,studentChoice1,studentChoice2,studentChoice3,studentChoice4,studentChoice5
90965,4.0,,True,,1,1,2,3,4,5
86378,4.0,,True,,1,1,2,3,4,5
48389,4.0,,True,,2,1,2,3,4,5
21498,4.0,,True,,2,1,2,3,4,5
28467,4.0,,True,,3,1,2,3,4,5
87520,4.0,,True,,3,1,2,3,4,5
11111,4.0,,,,3,1,2,3,4,5
22222,4.0,,,,3,1,2,3,4,5
33333,4.0,,,,3,1,2,3,4,5
44444,4.0,,,,3,1,2,3,4,5
55555,4.0,,,,3,1,2,3,4,5
66666,4.0,,,,3,1,2,3,4,5
77777,4.0,,,,3,1,2,3,4,5
88888,4.0,,,,3,1,2,3,4,5
99999,4.0,,,,3,1,2,3,4,5
